edition,product,version,checksum,date,dlnumber,url,filename,filetype,size,family
Citrix Virtual Apps and Desktops 7 2012,StoreFront 1912 LTSR CU2,2012,SHA-256 - b02d9a2250f44f04662fc5e5f5a303c09f5cfb5042cabfdcbd52a7c0fd5fdafa,"Nov 19, 2020",18840,https://secureportal.citrix.com/udl.asp?DLID=18840&URL=https://downloads.citrix.com/18840/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe,exe,46.2 MB,cvad
Citrix Virtual Apps and Desktops 7 2012,Sources: Session Recording,2012,SHA-256 - 5e6a0127c127b19af851fd83dc2cb70b1918dc20ef21af84bf66efc02fb52916,"Feb 23, 2017",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip,zip,18.1 KB,cvad
Citrix Virtual Apps and Desktops 7 2009,Citrix Virtual Apps and Desktops 7 2009,2009,SHA-256 - 48330CC0EFBD169114263D5341A0F5E96F2F2D11FDCCF43DD1E7DB05EF71E695,"Sep 29, 2020",18750,https://secureportal.citrix.com/udl.asp?DLID=18750&URL=https://downloads.citrix.com/18750/Citrix_Virtual_Apps_and_Desktops_7_2009.iso,Citrix_Virtual_Apps_and_Desktops_7_2009.iso,iso,2.28 GB,cvad
Citrix Virtual Apps and Desktops 7 2009,Multi-session OS Virtual Delivery Agent 2009,2009,SHA-256 - B02D6F5E5F995A684BA3994288C035933A4ADBC6141576910945D1FE3C078DEF,"Sep 29, 2020",18751,https://secureportal.citrix.com/udl.asp?DLID=18751&URL=https://downloads.citrix.com/18751/VDAServerSetup_2009.exe,VDAServerSetup_2009.exe,exe,410 MB,cvad
Citrix Virtual Apps and Desktops 7 2009,Single-session OS Virtual Delivery Agent 2009,2009,SHA-256 - 239EC1A621227AF1CAAE1B73BDA167338D45618AC6678E135BB692CB18F6EFC4,"Sep 29, 2020",18752,https://secureportal.citrix.com/udl.asp?DLID=18752&URL=https://downloads.citrix.com/18752/VDAWorkstationSetup_2009.exe,VDAWorkstationSetup_2009.exe,exe,415 MB,cvad
Citrix Virtual Apps and Desktops 7 2009,Single-session OS Core Services Virtual Delivery Agent 2009,2009,SHA-256 - 9F1D450DAE487789E07B7750B07E005B10CEC8B1A427AE9B590F3A244FD6E083,"Sep 29, 2020",18753,https://secureportal.citrix.com/udl.asp?DLID=18753&URL=https://downloads.citrix.com/18753/VDAWorkstationCoreSetup_2009.exe,VDAWorkstationCoreSetup_2009.exe,exe,250 MB,cvad
Citrix Virtual Apps and Desktops 7 2009,License Server for Windows - Version 11.16.6.0 Build 32000,2009,SHA-256 - 9AE4244BCD901642F03FAAA67BF2445DBF37AAE4908A6A88267B4F17C82979BA,"Sep 29, 2020",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.16.6.0_BUILD_32000.zip,Citrix_Licensing_11.16.6.0_BUILD_32000.zip,zip,51.9 MB,cvad
Citrix Virtual Apps and Desktops 7 2009,Profile Management 2009,2009,SHA-256 - E3ABDA7DC29280C4EBAC96F42C2231C006B955D090B810FD4C13C9A0FFA5F390,"Sep 29, 2020",18754,https://secureportal.citrix.com/udl.asp?DLID=18754&URL=https://downloads.citrix.com/18754/ProfileMgmt_2009.zip,ProfileMgmt_2009.zip,zip,11.3 MB,cvad
Citrix Virtual Apps and Desktops 7 2009,StoreFront 1912 LTSR CU1,2009,SHA-256 - D99AAF105591B3CD35D2BF3581776945C4B906593B5A669F9F6411665AF0B943,"May 7, 2020",17801,https://secureportal.citrix.com/udl.asp?DLID=17801&URL=https://downloads.citrix.com/17801/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe,exe,46.6 MB,cvad
Citrix Virtual Apps and Desktops 7 2009,Sources: Session Recording,2009,SHA-256 - 5e6a0127c127b19af851fd83dc2cb70b1918dc20ef21af84bf66efc02fb52916,"Feb 23, 2017",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip,zip,18.1 KB,cvad
Citrix Virtual Apps and Desktops 7 2006,Citrix Virtual Apps and Desktops 7 2006,2006,SHA-256 - 2288e7fcdbec37552673f60b6cefe16c07ff428abb6fe5c86c5c1cefb8d5b1f6,"Jun 16, 2020",17823,https://secureportal.citrix.com/udl.asp?DLID=17823&URL=https://downloads.citrix.com/17823/Citrix_Virtual_Apps_and_Desktops_7_2006.iso,Citrix_Virtual_Apps_and_Desktops_7_2006.iso,iso,2.28 GB,cvad
Citrix Virtual Apps and Desktops 7 2006,Multi-session OS Virtual Delivery Agent 2006,2006,SHA-256 - 79ad0e86b8581edd29ff9c004e853f20674f56ec010b13cb9da4fbfdeeffe28c,"Jun 16, 2020",17824,https://secureportal.citrix.com/udl.asp?DLID=17824&URL=https://downloads.citrix.com/17824/VDAServerSetup_2006.exe,VDAServerSetup_2006.exe,exe,403 MB,cvad
Citrix Virtual Apps and Desktops 7 2006,Single-session OS Virtual Delivery Agent 2006,2006,SHA-256 - 3ce0a44b2c788523c979d981da473167617b9a652c9db611eb7614cff379471b,"Jun 16, 2020",17825,https://secureportal.citrix.com/udl.asp?DLID=17825&URL=https://downloads.citrix.com/17825/VDAWorkstationSetup_2006.exe,VDAWorkstationSetup_2006.exe,exe,408 MB,cvad
